language,code_mixed,english
Manglish,Jom naik MRT Line 56.,Let's take the MRT Line 56.
Manglish,Jom naik MRT Line 57.,Let's take the MRT Line 57.
Manglish,Jom naik MRT Line 58.,Let's take the MRT Line 58.
Manglish,Jom naik MRT Line 59.,Let's take the MRT Line 59.
Manglish,Jom naik MRT Line 60.,Let's take the MRT Line 60.
Manglish,Jom naik MRT Line 61.,Let's take the MRT Line 61.
Manglish,Jom naik MRT Line 62.,Let's take the MRT Line 62.
Manglish,Jom naik MRT Line 63.,Let's take the MRT Line 63.
Manglish,Jom naik MRT Line 64.,Let's take the MRT Line 64.
Manglish,Jom naik MRT Line 65.,Let's take the MRT Line 65.
Manglish,Jom naik MRT Line 66.,Let's take the MRT Line 66.
Manglish,Jom naik MRT Line 67.,Let's take the MRT Line 67.
Manglish,Jom naik MRT Line 68.,Let's take the MRT Line 68.
Manglish,Jom naik MRT Line 69.,Let's take the MRT Line 69.
Manglish,Jom naik MRT Line 70.,Let's take the MRT Line 70.
Manglish,Jom naik MRT Line 71.,Let's take the MRT Line 71.
Manglish,Jom naik MRT Line 72.,Let's take the MRT Line 72.
Manglish,Jom naik MRT Line 73.,Let's take the MRT Line 73.
Manglish,Jom naik MRT Line 74.,Let's take the MRT Line 74.
Manglish,Jom naik MRT Line 75.,Let's take the MRT Line 75.
Manglish,Jom naik MRT Line 76.,Let's take the MRT Line 76.
Manglish,Jom naik MRT Line 77.,Let's take the MRT Line 77.
Manglish,Jom naik MRT Line 78.,Let's take the MRT Line 78.
Manglish,Jom naik MRT Line 79.,Let's take the MRT Line 79.
Manglish,Jom naik MRT Line 80.,Let's take the MRT Line 80.
Manglish,Jom naik MRT Line 81.,Let's take the MRT Line 81.
Manglish,Jom naik MRT Line 82.,Let's take the MRT Line 82.
Manglish,Jom naik MRT Line 83.,Let's take the MRT Line 83.
Manglish,Jom naik MRT Line 84.,Let's take the MRT Line 84.
Manglish,Jom naik MRT Line 85.,Let's take the MRT Line 85.
Manglish,Jom naik MRT Line 86.,Let's take the MRT Line 86.
Manglish,Jom naik MRT Line 87.,Let's take the MRT Line 87.
Manglish,Jom naik MRT Line 88.,Let's take the MRT Line 88.
Manglish,Jom naik MRT Line 89.,Let's take the MRT Line 89.
Manglish,Jom naik MRT Line 90.,Let's take the MRT Line 90.
Manglish,Jom naik MRT Line 91.,Let's take the MRT Line 91.
Manglish,Jom naik MRT Line 92.,Let's take the MRT Line 92.
Manglish,Jom naik MRT Line 93.,Let's take the MRT Line 93.
Manglish,Jom naik MRT Line 94.,Let's take the MRT Line 94.
Manglish,Jom naik MRT Line 95.,Let's take the MRT Line 95.
Manglish,Jom naik MRT Line 96.,Let's take the MRT Line 96.
Manglish,Jom naik MRT Line 97.,Let's take the MRT Line 97.
Manglish,Jom naik MRT Line 98.,Let's take the MRT Line 98.
Manglish,Jom naik MRT Line 99.,Let's take the MRT Line 99.
Manglish,Jom naik MRT Line 100.,Let's take the MRT Line 100.
Manglish,Jom naik MRT Line 101.,Let's take the MRT Line 101.
Manglish,Jom naik MRT Line 102.,Let's take the MRT Line 102.
Manglish,Jom naik MRT Line 103.,Let's take the MRT Line 103.
Manglish,Jom naik MRT Line 104.,Let's take the MRT Line 104.
Manglish,Jom naik MRT Line 105.,Let's take the MRT Line 105.
Manglish,Jom naik MRT Line 106.,Let's take the MRT Line 106.
Manglish,Jom naik MRT Line 107.,Let's take the MRT Line 107.
Manglish,Jom naik MRT Line 108.,Let's take the MRT Line 108.
Manglish,Jom naik MRT Line 109.,Let's take the MRT Line 109.
Manglish,Jom naik MRT Line 110.,Let's take the MRT Line 110.
Manglish,Jom naik MRT Line 111.,Let's take the MRT Line 111.
Manglish,Jom naik MRT Line 112.,Let's take the MRT Line 112.
Manglish,Jom naik MRT Line 113.,Let's take the MRT Line 113.
Manglish,Jom naik MRT Line 114.,Let's take the MRT Line 114.
Manglish,Jom naik MRT Line 115.,Let's take the MRT Line 115.
Manglish,Jom naik MRT Line 116.,Let's take the MRT Line 116.
Manglish,Jom naik MRT Line 117.,Let's take the MRT Line 117.
Manglish,Jom naik MRT Line 118.,Let's take the MRT Line 118.
Manglish,Jom naik MRT Line 119.,Let's take the MRT Line 119.
Manglish,Jom naik MRT Line 120.,Let's take the MRT Line 120.
Manglish,Jom naik MRT Line 121.,Let's take the MRT Line 121.
Manglish,Jom naik MRT Line 122.,Let's take the MRT Line 122.
Manglish,Jom naik MRT Line 123.,Let's take the MRT Line 123.
Manglish,Jom naik MRT Line 124.,Let's take the MRT Line 124.
Manglish,Jom naik MRT Line 125.,Let's take the MRT Line 125.
Manglish,Jom naik MRT Line 126.,Let's take the MRT Line 126.
Manglish,Jom naik MRT Line 127.,Let's take the MRT Line 127.
Manglish,Jom naik MRT Line 128.,Let's take the MRT Line 128.
Manglish,Jom naik MRT Line 129.,Let's take the MRT Line 129.
Manglish,Jom naik MRT Line 130.,Let's take the MRT Line 130.
Manglish,Jom naik MRT Line 131.,Let's take the MRT Line 131.
Manglish,Jom naik MRT Line 132.,Let's take the MRT Line 132.
Manglish,Jom naik MRT Line 133.,Let's take the MRT Line 133.
Manglish,Jom naik MRT Line 134.,Let's take the MRT Line 134.
Manglish,Jom naik MRT Line 135.,Let's take the MRT Line 135.
Manglish,Jom naik MRT Line 136.,Let's take the MRT Line 136.
Manglish,Jom naik MRT Line 137.,Let's take the MRT Line 137.
Manglish,Jom naik MRT Line 138.,Let's take the MRT Line 138.
Manglish,Jom naik MRT Line 139.,Let's take the MRT Line 139.
Manglish,Jom naik MRT Line 140.,Let's take the MRT Line 140.
Manglish,Jom naik MRT Line 141.,Let's take the MRT Line 141.
Manglish,Jom naik MRT Line 142.,Let's take the MRT Line 142.
Manglish,Jom naik MRT Line 143.,Let's take the MRT Line 143.
Manglish,Jom naik MRT Line 144.,Let's take the MRT Line 144.
Manglish,Jom naik MRT Line 145.,Let's take the MRT Line 145.
Manglish,Jom naik MRT Line 146.,Let's take the MRT Line 146.
Manglish,Jom naik MRT Line 147.,Let's take the MRT Line 147.
Manglish,Jom naik MRT Line 148.,Let's take the MRT Line 148.
Manglish,Jom naik MRT Line 149.,Let's take the MRT Line 149.
Manglish,Jom naik MRT Line 150.,Let's take the MRT Line 150.
Bihlish,Ka haal ba?,How are you?
Bihlish,Tu kahan jaat baa?,Where are you going?
Bihlish,Khaile baa ki nahi?,Have you eaten or not?
Bihlish,Ham thak gayil bani.,I am tired.
Bihlish,Chal party karab.,Let's party.
Bihlish,Mala madad kari.,Help me.
Bihlish,Koi baat nai.,No problem.
Bihlish,U bahut accha aadmi hai.,He is a very good person.
Bihlish,Tu taiyar baa?,Are you ready?
Bihlish,Hamra phone band ho gayil.,My phone got switched off.
Bihlish,Ham kal aayab.,I will come tomorrow.
Bihlish,Thoda ruk jaa.,Wait a little.
Bihlish,Kaise chal raha baa?,How is it going?
Bihlish,Ham vyast bani.,I am busy.
Bihlish,Hamni ke team jeet gayil.,Our team won.
Bihlish,Chai piyab?,Will you drink tea?
Bihlish,Hamra samajh me nai aail.,I didn't understand.
Bihlish,Tu phone kar sakta.,You can call.
Bihlish,Hamra thoda samay chahi.,I need some time.
Bihlish,Tu hamse mile.,You meet me.
Bihlish,U school jaat baa.,He is going to school.
Bihlish,Hamra maafi maang.,Say sorry to me.
Bihlish,Tohra naam ka ba?,What is your name?
Bihlish,Hamra thand lagat baa.,I am feeling cold.
Bihlish,Tu kahaan se aa rahal baa?,Where are you coming from?
Bihlish,Hamra phone kara.,Call me.
Bihlish,Ab ka karab?,What to do now?
Bihlish,Ham nai jaane.,I don’t know.
Bihlish,Tu se milke acha lagal.,It was nice meeting you.
Bihlish,U doctor baa.,He is a doctor.
Bihlish,Tu kitna busy baa?,How busy are you?
Bihlish,Ham thak gayil bani.,I am tired.
Bihlish,Ham nai jaane.,I don't know.
Bihlish,Tu ghar kab aaib?,When will you come home?
Bihlish,Hamra thoda chai chahi.,I need some tea.
Bihlish,Chal market chali.,Let's go to the market.
Bihlish,U hamaar dost baa.,He is my friend.
Bihlish,Hamra nachna pasand baa.,I like to dance.
Bihlish,Tu ka karat baa?,What are you doing?
Bihlish,Ham thoda der me aayab.,I will come in a little while.
Bihlish,Ham ghar jaat bani.,I am going home.
Bihlish,U bahut accha aadmi baa.,He is a very nice person.
Bihlish,Tu hamra samjha sakta?,Can you explain to me?
Bihlish,Hamra thoda kaam karna hai.,I have to do some work.
Bihlish,Tu apna dhyan rakha.,Take care of yourself.
Bihlish,Hamra thoda paisa chahi.,I need some money.
Bihlish,U movie dekhat baa.,He is watching a movie.
Bihlish,Ham tohre saath bani.,I am with you.
Bihlish,Hamra thoda araam chahi.,I need some rest.
Bihlish,Tu hamra saath chali?,Will you come with me?
Bihlish,Hamra bahut maja aail.,I had a lot of fun.
Bihlish,Tu khush baa?,Are you happy?
Bihlish,Ham tohre ghar aayab.,I will come to your house.
Bihlish,U bahut tez daudta baa.,He runs very fast.
Bihlish,Hamra thoda intezar kara.,Wait for me a bit.
Bihlish,Ham thoda busy bani.,I am a bit busy.
Bihlish,Tu kahaan se baa?,Where are you from?
Bihlish,Ham aaj thak gayil bani.,I am tired today.
Bihlish,Hamra thoda khana chahi.,I need some food.
Bihlish,U school chala gayil baa.,He went to school.
Bihlish,Hamra kaam karna baa.,I have to work.
Bihlish,Tu kal hamra se milega?,Will you meet me tomorrow?
Bihlish,Hamra apni kitaab le aana hai.,I have to bring my book.
Bihlish,Tu bahut accha kaam kail.,You did a very good job.
Bihlish,Hamra neend aa rahi baa.,I am feeling sleepy.
Bihlish,Tu hamra phone uthawa.,Pick up my phone.
Bihlish,U bahut funny aadmi baa.,He is a very funny man.
Bihlish,Hamra tohra intezar karna paril.,I had to wait for you.
Bihlish,Tu hamra madad kar sakta?,Can you help me?
Bihlish,Hamra thoda gussa aail.,I got a little angry.
Bihlish,U kal aayega.,He will come tomorrow.
Bihlish,Hamra thoda samay chahi.,I needed some time.
Bihlish,Tu hamra bata ki karna hai?,Tell me what to do?
Bihlish,Hamra thoda pani chahi.,I need some water.
Bihlish,Tu bahut accha baa.,You are very good.
Bihlish,Hamra ghar jaana hai.,I have to go home.
Bihlish,U kuch nai bolta.,He says nothing.
Bihlish,Hamra thoda samay de.,Give me some time.
Bihlish,Tu hamra samajh.,Understand me.
Bihlish,Hamra un log se baat karna hai.,I have to talk to them.
Bihlish,Tu hamra bata ki lagta hai?,Tell me how it feels?
Bihlish,Hamra thoda sona hai.,I want to sleep a bit.
Bihlish,U hamra saath hai.,He is with me.
Bihlish,Ham tohre saath chalna chahila.,I want to go with you.
Bihlish,Tu bahut tez baa.,You are very fast.
Bihlish,Hamra kuch nai chahi.,I don’t need anything.
Bihlish,Tu hamra samajh nai rahe.,You are not understanding me.
Bihlish,Ham tohre layi aa rahal bani.,I am coming for you.
Bihlish,U bahut sundar aadmi baa.,He is a very handsome man.
Bihlish,Hamra thoda samajh nai aa rahal.,I am not understanding much.
Bihlish,Tu hamra intezar kar.,Wait for me.
Bihlish,Ham tohre call karab.,I will call you.
Marlish,Njan try cheyyum.,I will try.
Marlish,Innu office late aayi.,I was late to the office today.
Marlish,Lunch ready aano?,Is lunch ready?
Marlish,Njan examinu prepare cheyyunnu.,I am preparing for the exam.
Marlish,Ninte phone charge cheyyumo?,Will you charge your phone?
Marlish,Naale movie nokkan pokamo?,Shall we go to watch a movie tomorrow?
Marlish,Avan valare busy aanu.,He is very busy.
Marlish,Coffee undakkiyundo?,Did you make the coffee?
Marlish,Homework complete cheyyanam.,Homework needs to be completed.
Marlish,Project time il submit cheyyu.,Submit the project on time.
Marlish,Meeting moonnu aayirikkum.,The meeting will be at 3.
Marlish,TV off cheyyu.,Switch off the TV.
Marlish,Naale exam undu.,There is an exam tomorrow.
Marlish,Bus miss aayi.,I missed the bus.
Marlish,Sadhanam kazhichu?,Did you eat food?
Marlish,WhatsApp message kandittundo?,Did you check the WhatsApp message?
Marlish,Ninte idea nannanu.,Your idea is very good.
Marlish,Cycle puncture aayi.,The cycle got punctured.
Marlish,Boss call cheythu.,Boss called.
Marlish,Innu valare kashthapettu.,I worked very hard today.
Marlish,Weekendinu plan undo?,Do you have plans for the weekend?
Marlish,Result vannu!,The result is out!
Marlish,Njan class miss cheythu.,I missed the class.
Marlish,Dinner order cheytho?,Did you order dinner?
Marlish,Reels kaanunnu.,Watching reels.
Marlish,Traffic koodi undu.,There is a lot of traffic.
Marlish,Internet slow aanu.,The internet connection is slow.
Marlish,Njan coding practice cheyyunnu.,I am practicing coding.
Marlish,Naale tripinu pokunnu.,I am going on a trip tomorrow.
Marlish,Ninte sahayam venam.,I need your help.
Marlish,Phone password marannu poyi.,I forgot the phone password.
Marlish,Cycle clean cheyyanam.,Need to clean the cycle.
Marlish,Bus stand il wait cheyyunnu.,Waiting at the bus stand.
Marlish,Sukhamano?,How are you?
Marlish,Njan office il aanu.,I am at the office.
Marlish,Malayalam songs kelkkunnu.,Listening to Malayalam songs.
Marlish,Room clean cheyyu.,Clean the room.
Marlish,Library il book illa.,The book was not available in the library.
Marlish,College apply cheyyanam.,Need to apply to college.
Marlish,Festival celebration valare enjoy cheythu.,The festival celebration was very enjoyable.
Marlish,Laptop repair il aanu.,The laptop is under repair.
Marlish,Resume update cheyyu.,Update the resume.
Marlish,Friends ude hangout cheyyam.,Let's hang out with friends.
Marlish,Notes ayakkuka.,Send the notes.
Marlish,Exam hall il late aayi.,Was late to the exam hall.
Marlish,Birthday party nannayi.,The birthday party was great.
Marlish,Wi-Fi signal illa.,There is no Wi-Fi signal.
Marlish,Assignment naale complete cheyyanam.,You have to complete the assignment by tomorrow.
Marlish,Phone charge il pooku.,Put the phone on charge.
Marlish,Online class start aayi.,The online class has started.
Marlish,Netflix il new series vannu.,A new series started on Netflix.
Marlish,Avan valare intelligent aanu.,He is very intelligent.
Marlish,Online shopping easy aayi.,Online shopping became easy.
Marlish,Innu valare vayasu aanu.,It is very hot today.
Marlish,College friends kandu santhosham aayi.,Enjoyed meeting college friends.
Marlish,Ethekku pokunnu?,Where are you going?
Marlish,Bus il jam undu.,There is traffic jam in the bus.
Marlish,Work complete aayi.,The work is complete.
Marlish,Naale plan cheythu.,Made a plan for tomorrow.
Marlish,Innu busy aayi.,Was very busy today.
Marlish,App crash cheyyunnu.,The app is crashing.
Marlish,Malayalam movie weekend il kaanam.,Let's watch a Malayalam movie this weekend.
Marlish,Naale party undu.,There is a party tomorrow night.
Marlish,TV remote kittiyilla.,Didn't find the TV remote.
Marlish,Festivalinu veetilekku pokunnu.,Going home for the festival.
Marlish,Phone data poyi.,Phone data is over.
Marlish,Boss appreciate cheythu.,Boss appreciated.
Marlish,Message cheythal reply cheyyu.,Reply when you message.
Marlish,Snacks undo?,Do you have any snacks?
Marlish,Alarm miss cheythu.,Missed the alarm.
Marlish,Selfie edukkamo?,Shall we take a selfie?
Marlish,Job interview naale aanu.,There is a job interview tomorrow.
Marlish,Breakfast kazhichu pokam.,Eat breakfast and go.
Marlish,Class start aayi.,The class has started.
Marlish,Network problem undu.,There is a network problem.
Marlish,Online payment cheythu.,I made the online payment.
Marlish,Assignment scan cheythu ayakkuka.,Scan and send the assignment.
Marlish,Work complete cheythu late aayi.,Finished work and got late.
Marlish,Valare tension undu.,I am very tense.
Marlish,New dress kandundo?,Did you see the new dress?
Marlish,Friends ne treat cheyyanam.,I have to treat friends.
Marlish,Festivalinu sweets undakkanam.,Need to make sweets for the festival.
Marlish,Weather cool aanu.,The weather is cool.
Marlish,Naale mazhakkaruthu.,It might rain tomorrow.
Marlish,App install cheyyanam.,Need to install the app.
Marlish,Class notes nannayi ezhuthanam.,Need to write the class notes well.
Marlish,Laptop password marannu poyi.,Forgot the laptop password.
Marlish,Weekend relaxation plan undu.,I have a relaxation plan for the weekend.
Marlish,Parayanathilla.,Nothing to say.
Marlish,Njan ninne call cheyyum.,I will call you.
Marlish,Phone il problem undu.,There is a problem with the phone.
Marlish,Group project kashtam aanu.,The group project is difficult.
Marlish,Festival crowd valare undu.,There is a huge crowd at the festival.
Marlish,Notebook college kittiyilla.,Forgot the notebook for college.
Marlish,Kochu wait cheyyu.,Wait a bit.
Marlish,Veedu clean cheyyanam.,Need to clean the house.
Marlish,Story valare interesting aanu.,The story is very interesting.
Marlish,Ninte sahayam kond task complete aayi.,"With your help, the task got completed."
Marlish,Boss mistake correct cheythu.,Boss appreciated correcting the mistake.
Marlish,Call varunnilla.,The call hasn’t come.
Marlish,Selfie valare nallathu.,The selfie looks good.
Marlish,Home delivery order cheythu.,Ordered for home delivery.
Rajlish,Kem cho?,How are you?
Rajlish,Tane kai karno hai?,What do you want to do?
Rajlish,Ham ghar javo hai.,I am going home.
Rajlish,Tum kitho aayo?,Where did you come from?
Rajlish,Mhane bhukh lagi hai.,I am hungry.
Rajlish,Tu kai kar raha hai?,What are you doing?
Rajlish,Hamro dost aayo hai.,My friend has come.
Rajlish,Thari madad chahiye.,I need your help.
Rajlish,Chalo bazaar chalo.,Let's go to the market.
Rajlish,Main thak gayo hu.,I am tired.
Rajlish,Tum kade aavoge?,When will you come?
Rajlish,Hamne paani do.,Give me water.
Rajlish,Tharo naam kai hai?,What is your name?
Rajlish,Ham kam kar rahe hai.,I am working.
Rajlish,Tum khush ho?,Are you happy?
Rajlish,Mhare saath aao.,Come with me.
Rajlish,U gharo jaa rahyo hai.,He is going home.
Rajlish,Tharo phone bajyo.,Your phone is ringing.
Rajlish,Mhane kuch chahiye.,I need something.
Rajlish,Tum ghar par ho?,Are you at home?
Rajlish,Ham kal aayenge.,We will come tomorrow.
Rajlish,Tum thoda ruk jao.,Wait a little.
Rajlish,Thari sehat kaisi hai?,How is your health?
Rajlish,Ham ghar javo chahu.,I want to go home.
Rajlish,Tum samajh rahe ho?,Are you understanding?
Rajlish,Mhare paas paisa nahi hai.,I don't have money.
Rajlish,Tum kya soch rahe ho?,What are you thinking?
Rajlish,Ham roti kha rahya hai.,I am eating bread.
Rajlish,Tumne madad ki jarurat hai?,Do you need help?
Rajlish,Hamne dukh hai.,I am sad.
Rajlish,Tum kitna der tak rukoge?,How long will you stay?
Rajlish,Mhare ghar mein mehmaan hain.,There are guests in my house.
Rajlish,Tum chai piyoge?,Will you drink tea?
Rajlish,Ham thak gaye hai.,We are tired.
Rajlish,Tumne mere baare mein kya socha?,What did you think about me?
Rajlish,Mhane yeh pasand hai.,I like this.
Rajlish,Tumne kaam khatam kiya?,Did you finish the work?
Rajlish,Ham abhi nahi ja rahe.,I am not going now.
Rajlish,Tumne sahi kaha.,You said right.
Rajlish,Mhare ghar chalo.,Come to my house.
Rajlish,Tum bahut acche ho.,You are very good.
Rajlish,Hamne tumse milkar khushi hui.,Happy to meet you.
Rajlish,Tum kyu nahi aate?,Why don’t you come?
Rajlish,Mhare paas samay nahi hai.,I don’t have time.
Rajlish,Tumne khana khaya?,Did you eat food?
Rajlish,Ham bazaar ja rahe hain.,I am going to the market.
Rajlish,Tumne kitab padhi?,Did you read the book?
Rajlish,Mhare gaon mein mela laga hai.,There is a fair in my village.
Rajlish,Tum mujhe phone karna.,Call me.
Rajlish,Ham tumhare liye laaya hoon.,I brought it for you.
Rajlish,Tum kahan ja rahe ho?,Where are you going?
Rajlish,Mhare ghar mein sab theek hai.,Everything is fine at my home.
Rajlish,Tum thoda dhyan do.,Pay some attention.
Rajlish,Hamne tumse kuch baat karni hai.,I want to talk to you.
Rajlish,Tum bahut der se aaye ho.,You came very late.
Rajlish,Mhane tumhari madad chahiye.,I need your help.
Rajlish,Tum bahar jao.,Go outside.
Rajlish,Ham ghar mein araam kar rahe hain.,I am resting at home.
Rajlish,Tumne apna kaam kar liya?,Did you do your work?
Rajlish,Mhare saath chalo bazaar.,Come with me to the market.
Rajlish,Tum kyu pareshaan ho?,Why are you worried?
Rajlish,Hamne tumse kuch chhupaaya nahi.,I haven’t hidden anything from you.
Rajlish,Tumne kaha tha ki aoge.,You said you would come.
Rajlish,Mhare paas nahi hai.,I don’t have it.
Rajlish,Tumhe pata hai?,Do you know?
Rajlish,Ham jaldi aa rahe hain.,I am coming soon.
Rajlish,Tum mere saath aao.,Come with me.
Rajlish,Mhare liye kuch lana.,Bring something for me.
Rajlish,Tum bahut tez ho.,You are very fast.
Rajlish,Hamare liye chai lao.,Bring tea for us.
Rajlish,Tumne apne kaam pe dhyan do.,Focus on your work.
Rajlish,Mhare paas kitaben hain.,I have books.
Rajlish,Tumne mujhe dhokha diya.,You betrayed me.
Rajlish,Hamne tumse wada kiya tha.,I had promised you.
Rajlish,Tumne mujhe phone kyun nahi kiya?,Why didn’t you call me?
Rajlish,Mhare ghar mein party hai.,There is a party at my house.
Rajlish,Tum kahan so rahe ho?,Where are you sleeping?
Rajlish,Ham tumhare liye kuch karenge.,I will do something for you.
Rajlish,Tum kal aaoge?,Will you come tomorrow?
Rajlish,Mhare pasandida gaana hai yeh.,This is my favorite song.
Rajlish,Tumne khana khaya ya nahi?,Did you eat or not?
Rajlish,Ham tumse pyar karte hain.,I love you.
Rajlish,Tum mere dost ho.,You are my friend.
Rajlish,Mhare liye samay nikalna.,Make time for me.
Rajlish,Tumne kal kya kiya?,What did you do yesterday?
Rajlish,Ham tumhari madad karenge.,I will help you.
Rajlish,Tum bahut accha kaam karte ho.,You do very good work.
Rajlish,Mhare liye ek chai lana.,Bring me a tea.
Rajlish,Tum theek ho na?,You are fine
Rajlish,Ham ghar par hain.,I am at home.
Rajlish,Tumne hamara sammaan kiya.,You respected me.
Rajlish,Mhare ghar aao kal.,Come to my house tomorrow.
Rajlish,Tum kuch aur chahoge?,Will you want anything else?
Rajlish,Ham kal chutti par hain.,I am off tomorrow.
Rajlish,Tumne kaam ki shuruaat ki.,You started the work.
Urdlish,Main kal office jaunga.,I will go to the office tomorrow.
Urdlish,Tumhara phone charge hua?,Did you charge your phone?
Urdlish,Kya tumne homework complete kiya?,Did you complete the homework?
Urdlish,Mujhe help chahiye.,I need help.
Urdlish,Woh bahut busy hai.,He is very busy.
Urdlish,Aaj mausam acha hai.,The weather is nice today.
Urdlish,Kya tum mujhe call karoge?,Will you call me?
Urdlish,Maine apna kaam finish kar liya.,I finished my work.
Urdlish,Kya tumne lunch kiya?,Did you have lunch?
Urdlish,Main tumse baad mein milta hoon.,I will meet you later.
Urdlish,Tumhara message mila.,I got your message.
Urdlish,Mujhe Urdu seekhni hai.,I want to learn Urdu.
Urdlish,Kya tum kal aoge?,Will you come tomorrow?
Urdlish,Main ghar par hoon.,I am at home.
Urdlish,Woh kal exam de raha hai.,He is giving the exam tomorrow.
Urdlish,Kya tumne movie dekhi?,Did you watch the movie?
Urdlish,Mujhe tumhari madad chahiye.,I need your help.
Urdlish,Main abhi busy hoon.,I am busy right now.
Urdlish,Tumhari car kahan hai?,Where is your car?
Urdlish,Kya tumne assignment submit kiya?,Did you submit the assignment?
Urdlish,Main tumhe call karta hoon.,I will call you.
Urdlish,Tumhara plan kya hai?,What is your plan?
Urdlish,Maine dinner khaya.,I ate dinner.
Urdlish,Tum school kab jaate ho?,When do you go to school?
Urdlish,Kya tumne ye kitaab padhi?,Did you read this book?
Urdlish,Main tumhare saath chalunga.,I will go with you.
Urdlish,Tumhara dost kaisa hai?,How is your friend?
Urdlish,Mujhe aaj thoda waqt chahiye.,I need some time today.
Urdlish,Woh office mein hai.,He is in the office.
Urdlish,Kya tumne exam ke liye tayari ki?,Did you prepare for the exam?
Urdlish,Main tumse baat kar raha hoon.,I am talking to you.
Urdlish,Tum kaha ja rahe ho?,Where are you going?
Urdlish,Mujhe tumse milna hai.,I want to meet you.
Urdlish,Kya tumne apna kaam complete kiya?,Did you complete your work?
Urdlish,Main ghar se nikal raha hoon.,I am leaving home.
Urdlish,Woh party mein hai.,He is at the party.
Urdlish,Tumhari car kharab ho gayi?,Did your car break down?
Urdlish,Main tumhari madad kar sakta hoon.,I can help you.
Urdlish,Tumhara phone baj raha hai.,Your phone is ringing.
Urdlish,Kya tumne mera message dekha?,Did you see my message?
Urdlish,Mujhe jaldi jaana hai.,I have to go soon.
Urdlish,Tumhara ghar kahan hai?,Where is your house?
Urdlish,Main kal office nahi jaunga.,I will not go to the office tomorrow.
Urdlish,Kya tumne apni kitaab le li?,Did you take your book?
Urdlish,Main tumhare liye kuch laa raha hoon.,I am bringing something for you.
Urdlish,Tum bahar jaoge?,Will you go outside?
Urdlish,Mujhe tumhari zarurat hai.,I need you.
Urdlish,Main tumse baad mein milta hoon.,I will meet you later.
Urdlish,Kya tumhe ye samajh aya?,Did you understand this?
Urdlish,Tumhara jawab kya hai?,What is your answer?
Urdlish,Main tumse kal milta hoon.,I will meet you tomorrow.
Urdlish,Tumhara dost mera dost hai.,Your friend is my friend.
Urdlish,Main tumhari baat sun raha hoon.,I am listening to you.
Urdlish,Kya tumne ye kaam kiya?,Did you do this work?
Urdlish,Main kal school nahi jaunga.,I will not go to school tomorrow.
Urdlish,Tumhari car achi hai.,Your car is good.
Urdlish,Mujhe tumhari madad ki zarurat hai.,I need your help.
Urdlish,Tum kaha rehte ho?,Where do you live?
Urdlish,Main ghar par hoon.,I am at home.
Urdlish,Kya tumne khana khaya?,Did you eat food?
Urdlish,Main tumse baat karna chahta hoon.,I want to talk to you.
Urdlish,Tumhara phone kahan hai?,Where is your phone?
Urdlish,Main abhi busy hoon.,I am busy right now.
Urdlish,Kya tum kal aoge?,Will you come tomorrow?
Urdlish,Main tumhe kal call karunga.,I will call you tomorrow.
Urdlish,Tumhari madad ke liye shukriya.,Thank you for your help.
Urdlish,Main tumhari baat samajh gaya.,I understood what you said.
Urdlish,Tum kahan ja rahe ho?,Where are you going?
Urdlish,Mujhe tumse kuch kehna hai.,I want to tell you something.
Urdlish,Kya tumne apna kaam complete kiya?,Did you complete your work?
Urdlish,Main tumse baad mein milta hoon.,I will meet you later.
Urdlish,Tumhara message mil gaya.,I received your message.
Urdlish,Main tumhari madad karunga.,I will help you.
Urdlish,Tumhara phone chal raha hai.,Your phone is working.
Urdlish,Kya tumne exam ke liye tayari ki?,Did you prepare for the exam?
Urdlish,Main ghar se nikal raha hoon.,I am leaving home.
Urdlish,Tum kaha rehte ho?,Where do you live?
Urdlish,Main tumse baat kar raha hoon.,I am talking to you.
Urdlish,Kya tumne khana khaya?,Did you eat food?
Urdlish,Mujhe tumhari zarurat hai.,I need you.
Urdlish,Tumhara dost mera dost hai.,Your friend is my friend.
Onglish,Kemiti achha?,How are you?
Onglish,Tume kaha jaucha?,Where are you going?
Onglish,Mu khusi achhi.,I am happy.
Onglish,Tumara naam kana?,What is your name?
Onglish,Mu bhukha laguchi.,I am hungry.
Onglish,Tume kama karuchha?,Are you working?
Onglish,Mu ghara jauchi.,I am going home.
Onglish,Tume kemiti kahuchha?,How are you saying?
Onglish,Mote pani de.,Give me water.
Onglish,Tume bhalare achha?,Are you fine?
Onglish,Mu kal asibi.,I will come tomorrow.
Onglish,Tumaku sundar laguchi.,You look beautiful.
Onglish,Mu bahut thakigali.,I am very tired.
Onglish,Tume kama sesha karile?,Did you finish the work?
Onglish,Mu thare sahayata chahen.,I need your help.
Onglish,Tume kebe asiba?,When will you come?
Onglish,Mu tumaku bhalapae.,I love you.
Onglish,Tumaku kichi khayiba?,Do you want to eat something?
Onglish,Mu tumara saath jauchi.,I am going with you.
Onglish,Tume school jaucha?,Are you going to school?
Onglish,Mu kita basuchi.,I am sitting here.
Onglish,Tume kemiti se?,How is he/she?
Onglish,Mu pani piyibi.,I will drink water.
Onglish,Tume mo sahayata kariba?,Will you help me?
Onglish,Mu tumaku dekhili.,I saw you.
Onglish,Tume katha kahuchha?,What are you saying?
Onglish,Mu bahut khusi.,I am very happy.
Onglish,Tume kaha thiba?,Where will you be?
Onglish,Mu thare wait karuchi.,I am waiting here.
